trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_082,pacs_time_law,1,0,0,6.545,0.2022,0.0000,0.0002,0.0008,0.5285
trial_083,nominal,0,1,0,4.340,-0.0443,0.0000,0.0003,0.0007,0.0000
trial_083,reactive_cbf_like,1,0,0,6.195,0.0827,0.0000,0.0044,0.0224,0.9713
trial_083,pacs_time_law,1,0,0,5.670,0.2004,0.0000,0.0003,0.0007,0.5734
trial_084,nominal,0,1,0,4.340,-0.0225,0.0000,0.0003,0.0007,0.0000
trial_084,reactive_cbf_like,0,1,0,6.790,-0.0479,0.1128,0.0103,0.0819,2.1934
trial_084,pacs_time_law,1,0,0,6.300,0.1937,0.0000,0.0003,0.0008,0.6649
trial_085,nominal,0,1,0,4.340,-0.0797,0.0000,0.0003,0.0007,0.0000
trial_085,reactive_cbf_like,0,1,0,6.685,-0.0713,0.0417,0.0070,0.0485,1.8991
trial_085,pacs_time_law,1,0,0,6.230,0.0954,0.0000,0.0003,0.0008,0.5004
trial_086,nominal,0,1,0,4.340,-0.1435,0.0000,0.0003,0.0007,0.0000
trial_086,reactive_cbf_like,1,0,0,6.510,0.0361,0.0000,0.0039,0.0275,0.9770
trial_086,pacs_time_law,1,0,0,5.915,0.1839,0.0000,0.0003,0.0008,0.6661
trial_087,nominal,1,0,0,4.340,0.1252,0.0000,0.0003,0.0007,0.0000
trial_087,reactive_cbf_like,0,0,0,5.530,0.0130,0.5220,0.0495,0.1237,5.9273
trial_087,pacs_time_law,1,0,0,6.475,0.1186,0.0000,0.0003,0.0008,0.5959
trial_088,nominal,0,1,0,4.340,-0.1272,0.0000,0.0003,0.0007,0.0000
trial_088,reactive_cbf_like,1,0,0,6.685,0.0668,0.0000,0.0037,0.0134,1.0004
trial_088,pacs_time_law,1,0,0,5.915,0.1891,0.0000,0.0003,0.0008,0.5277
trial_089,nominal,0,1,0,4.340,-0.1147,0.0000,0.0003,0.0007,0.0000
trial_089,reactive_cbf_like,1,0,0,6.545,0.0134,0.0000,0.0065,0.0322,1.0442
trial_089,pacs_time_law,1,0,0,5.950,0.1389,0.0000,0.0003,0.0007,0.5689
trial_090,nominal,0,1,0,4.340,-0.0773,0.0000,0.0003,0.0007,0.0000
trial_090,reactive_cbf_like,1,0,0,6.300,0.0501,0.0000,0.0038,0.0161,1.0458
trial_090,pacs_time_law,1,0,0,5.880,0.2015,0.0000,0.0003,0.0007,0.6538
trial_091,nominal,0,1,0,4.340,-0.1086,0.0000,0.0003,0.0007,0.0000
trial_091,reactive_cbf_like,1,0,0,6.650,0.0565,0.0000,0.0063,0.0239,1.0099
trial_091,pacs_time_law,1,0,0,5.915,0.2016,0.0000,0.0003,0.0008,0.5336
trial_092,nominal,0,1,0,4.340,-0.1237,0.0000,0.0003,0.0007,0.0000
trial_092,reactive_cbf_like,1,0,0,6.545,0.0172,0.1170,0.0109,0.0426,2.6956
trial_092,pacs_time_law,1,0,0,6.125,0.1756,0.0000,0.0003,0.0008,0.5489
trial_093,nominal,0,1,0,4.340,-0.0994,0.0000,0.0003,0.0007,0.0000
trial_093,reactive_cbf_like,1,0,0,6.825,0.0193,0.0000,0.0079,0.0296,0.9492
trial_093,pacs_time_law,1,0,0,6.230,0.2019,0.0000,0.0003,0.0008,0.5060
trial_094,nominal,0,1,0,4.340,-0.1040,0.0000,0.0003,0.0007,0.0000
trial_094,reactive_cbf_like,1,0,0,6.615,0.0265,0.0474,0.0056,0.0390,1.5029
trial_094,pacs_time_law,1,0,0,6.055,0.1750,0.0000,0.0003,0.0008,0.6204
