method,safe_set,seed,interactions,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
global_replacement,1,43,120,1.0,1.0,0.06318072249027666,0.02910822751805223,0.4307289498032565,0.3272928495698605,0.0,0.03333333333333333,0.0,0.03333333333333333,1.0,0.4371374479636409
global_replacement,1,43,140,0.9722222222222222,0.9944444444444445,0.07613842830143758,0.035554504966527095,0.41662552225826005,0.26129972663102097,0.0,0.07222222222222222,0.0,0.07222222222222222,1.0,0.431129756675107
global_replacement,1,43,160,0.9722222222222222,0.9944444444444445,0.08372914595568141,0.036011439431392435,0.40850796384887583,0.2561705416579317,0.0,0.06111111111111111,0.005555555555555556,0.06111111111111111,1.0,0.42509100110396486
global_replacement,1,43,180,0.9722222222222222,0.9944444444444445,0.07464259206703966,0.031773509898453074,0.41823462600491457,0.29487706467055347,0.0,0.05555555555555555,0.005555555555555556,0.05555555555555555,1.0,0.4294025157590516
global_replacement,1,43,200,1.0,1.0,0.0705632989747888,0.027367255353704104,0.42307252432179615,0.324444487485003,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.4224858335119206
global_replacement,1,43,220,1.0,1.0,0.0700345974130491,0.02629839360852167,0.4236156443817656,0.3143812847155575,0.0,0.05,0.0,0.05,1.0,0.4341632919932736
global_replacement,1,43,240,1.0,1.0,0.07406199162992703,0.029579192735300932,0.41896771665496246,0.2888666968977897,0.0,0.05555555555555555,0.0,0.05555555555555555,1.0,0.42547691192974085
global_replacement,1,44,0,0.0,0.34444444444444444,0.4722013984574439,0.4722013984574439,-0.023449877669328135,-0.13465593523117037,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
global_replacement,1,44,20,0.9444444444444444,0.9888888888888889,0.07771865203834148,0.07867931395766355,0.4129940374507285,0.35465561474453106,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.45023464107255223
global_replacement,1,44,40,1.0,1.0,0.0432684532933543,0.040855401854531986,0.4507243355128007,0.4206057840033623,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.43495276035485786
global_replacement,1,44,60,1.0,1.0,0.042427007380899655,0.03623751662615809,0.4517378469289865,0.41210732317370957,0.0,0.005555555555555556,0.0,0.005555555555555556,1.0,0.4388590526706706
global_replacement,1,44,80,1.0,1.0,0.04288354573672035,0.03406489634589193,0.4514881960107769,0.397674352490643,0.0,0.005555555555555556,0.0,0.005555555555555556,1.0,0.4298087022830585
global_replacement,1,44,100,1.0,1.0,0.045027468671210345,0.035975344122008736,0.44889417566056355,0.3908336616998716,0.0,0.0,0.0,0.0,1.0,0.42685378936918944
global_replacement,1,44,120,1.0,1.0,0.03972961290366874,0.033164419534887406,0.4553613630286906,0.4110067274884797,0.0,0.0,0.0,0.0,1.0,0.430629731164256
global_replacement,1,44,140,1.0,1.0,0.03906966312277472,0.03066345941324022,0.4558000307167498,0.4273228166992545,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.43866169532251875
global_replacement,1,44,160,1.0,1.0,0.043908388154606674,0.03178864405045487,0.45072969294176213,0.4134889879364984,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.42719455393570444
global_replacement,1,44,180,1.0,1.0,0.04343556093402098,0.03510848490223791,0.4510257524564511,0.40663701708148364,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.43234726550663966
global_replacement,1,44,200,0.9722222222222222,0.9944444444444445,0.044432877850255625,0.03018790488731939,0.4504867605716102,0.40132551064359406,0.0,0.0,0.005555555555555556,0.0,1.0,0.43407860410876437
global_replacement,1,44,220,1.0,1.0,0.045809117360155506,0.031144782723762473,0.4484399308582199,0.38714582409113363,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.43036972544949037
global_replacement,1,44,240,1.0,1.0,0.04478567869662415,0.028281628768425607,0.4500463639863686,0.3961076847831861,0.0,0.022222222222222223,0.0,0.022222222222222223,1.0,0.42848459997897337
global_replacement,1,45,0,0.0,0.3,0.4833590958797648,0.4833590958797648,-0.03623141613602919,-0.1317682148026554,0.0,0.0,0.011111111111111112,0.0,0.0,0.0
global_replacement,1,45,20,1.0,1.0,0.07591417859832145,0.05065437706280967,0.41411461186564336,0.33620206209852294,0.0,0.03333333333333333,0.0,0.03333333333333333,1.0,0.4477182304548862
global_replacement,1,45,40,1.0,1.0,0.07306376033484448,0.03596308189751896,0.41849787861592885,0.3587468410319324,0.0,0.022222222222222223,0.0,0.022222222222222223,1.0,0.4399208521782659
global_replacement,1,45,60,1.0,1.0,0.06327704874742182,0.04697228683568275,0.42890216308395457,0.39136302632506537,0.0,0.0,0.0,0.0,1.0,0.4384630012572712
global_replacement,1,45,80,1.0,1.0,0.06656589578102541,0.043895523778569125,0.4251876705123805,0.36593579363926126,0.0,0.027777777777777776,0.0,0.027777777777777776,1.0,0.4303426922564051
global_replacement,1,45,100,1.0,1.0,0.06811629746140455,0.04141039622157944,0.423921674587985,0.37230240344668586,0.0,0.011111111111111112,0.0,0.011111111111111112,1.0,0.4226857451753957
global_replacement,1,45,120,1.0,1.0,0.07295196125751029,0.042825821806171956,0.41856062309716136,0.34349136048553314,0.0,0.03888888888888889,0.0,0.03888888888888889,1.0,0.42675979722471136
global_replacement,1,45,140,1.0,1.0,0.07924056852169231,0.03762095428568054,0.41307779954221346,0.2843913937000466,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.4209169222180138
global_replacement,1,45,160,1.0,1.0,0.07756984742660326,0.036024370997927234,0.4149425990794807,0.2870195552793441,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.4236240061372532
global_replacement,1,45,180,1.0,1.0,0.07033527970885914,0.03278085554503672,0.42308399286693116,0.3351083550259067,0.0,0.03888888888888889,0.0,0.03888888888888889,1.0,0.42842979060987796
global_replacement,1,45,200,0.9722222222222222,0.9944444444444445,0.0832945177394741,0.03336294420054779,0.40899019966009337,0.28473528493314537,0.0,0.10555555555555556,0.0,0.10555555555555556,1.0,0.42677205457621953
global_replacement,1,45,220,1.0,1.0,0.08320492936616196,0.03220190752550228,0.40917681350691365,0.27557418605379574,0.0,0.12222222222222222,0.0,0.12222222222222222,1.0,0.42295331522793034
global_replacement,1,45,240,1.0,1.0,0.07725451169775652,0.032269153888649316,0.41524791905556196,0.2944210195596823,0.0,0.07222222222222222,0.0,0.07222222222222222,1.0,0.4281907979892447
residual_finetune,0,41,0,0.0,0.24444444444444444,0.49189047298745264,0.49189047298745264,-0.045508308824956226,-0.13541253663808722,0.0,0.0,0.011111111111111112,0.0,0.0,0.0
residual_finetune,0,41,20,1.0,1.0,0.06877924931335727,0.06635730148526574,0.42284174701512567,0.3462273235137119,0.0,0.0,0.0,0.0,1.0,0.44220742011862846
residual_finetune,0,41,40,1.0,1.0,0.06470193266481071,0.06005595758091845,0.4273412182908866,0.3389871573123752,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4383924468635907
residual_finetune,0,41,60,1.0,1.0,0.0636142784410339,0.0620301311088672,0.4281667705557087,0.33416665429117315,0.0,0.0,0.0,0.0,1.0,0.43409398877569033
residual_finetune,0,41,80,1.0,1.0,0.05608810819601567,0.04977991568754202,0.43685432585370576,0.3652811574763319,0.0,0.0,0.0,0.0,1.0,0.4299283075465193
residual_finetune,0,41,100,0.9722222222222222,0.9944444444444445,0.05385221408307682,0.04031244165501556,0.4395023330477661,0.3984052069626166,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.42011067081160547
residual_finetune,0,41,120,1.0,1.0,0.05041815332956959,0.03994439244125911,0.443374798880408,0.39398453401113176,0.0,0.0,0.0,0.0,1.0,0.42425813961541853
residual_finetune,0,41,140,1.0,1.0,0.05087506950925638,0.035407335842976805,0.4425145120986533,0.3917475216130094,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.42221277338174945
residual_finetune,0,41,160,0.9722222222222222,0.9944444444444445,0.05615946710721604,0.03352924702967203,0.43698032303093365,0.3481929356579361,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.41882213054071094
residual_finetune,0,41,180,1.0,1.0,0.052669962701737204,0.038254242728191466,0.4413223634001196,0.3909179828224365,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.4247244850071305
residual_finetune,0,41,200,1.0,1.0,0.04219793800250626,0.03443253808970907,0.4523807519552529,0.4102751588565513,0.0,0.0,0.0,0.0,1.0,0.42715107015012577
residual_finetune,0,41,220,1.0,1.0,0.04912671090565034,0.035314700806547555,0.44481156540663647,0.3970289179155741,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.42210756500723134
residual_finetune,0,41,240,1.0,1.0,0.04291613465493451,0.03168278416344953,0.4515870907067543,0.4151591232305553,0.0,0.0,0.0,0.0,1.0,0.42562957708434684
